Resolved local address:
  192.168.111.25
Using path:
  Hops: [] MTU: 1472 NextHop: <nil>

PING 64-2:0:2b,192.168.111.1:0 pld=0B scion_pkt=44B
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=76 time=0.742ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=77 time=0.882ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=78 time=0.848ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=79 time=0.831ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=80 time=0.873ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=81 time=0.890ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=82 time=0.890ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=83 time=0.817ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=84 time=0.857ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=85 time=0.848ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=86 time=0.776ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=87 time=0.861ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=88 time=0.911ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=89 time=2.226ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=90 time=1.011ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=91 time=0.934ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=92 time=0.879ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=93 time=0.917ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=94 time=0.911ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=95 time=0.783ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=96 time=0.792ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=97 time=0.854ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=98 time=0.810ms
52 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=99 time=0.827ms

--- 64-2:0:2b,192.168.111.1 statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 100037.288ms
rtt min/avg/max/mdev = 0.511/0.867/2.226/0.184 ms
