Resolved local address:
  192.168.110.78
Using path:
  Hops: [64-2:0:2c 1>21 64-3303 1>17 64-559 24>1 64-2:0:2b] MTU: 1452 NextHop: 192.168.110.1:30042

PING 64-2:0:2b,192.168.111.1:0 pld=0B scion_pkt=144B
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=74 time=6.324ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=75 time=6.202ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=76 time=6.426ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=77 time=6.101ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=78 time=6.240ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=79 time=6.275ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=80 time=6.281ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=81 time=6.268ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=82 time=7.576ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=83 time=6.045ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=84 time=6.251ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=85 time=6.268ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=86 time=6.183ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=87 time=6.343ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=88 time=5.972ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=89 time=6.288ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=90 time=6.018ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=91 time=6.319ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=92 time=6.244ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=93 time=6.458ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=94 time=6.199ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=95 time=6.210ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=96 time=6.207ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=97 time=6.119ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=98 time=8.161ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=99 time=6.230ms

--- 64-2:0:2b,192.168.111.1 statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 100002.156ms
rtt min/avg/max/mdev = 5.939/6.223/8.161/0.266 ms
