Resolved local address:
  192.168.110.78
Using path:
  Hops: [64-2:0:2c 1>21 64-3303 1>17 64-559 24>1 64-2:0:2b] MTU: 1452 NextHop: 192.168.110.1:30042

PING 64-2:0:2b,192.168.111.1:0 pld=0B scion_pkt=144B
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=74 time=6.364ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=75 time=6.347ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=76 time=6.243ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=77 time=6.249ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=78 time=6.286ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=79 time=6.036ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=80 time=6.283ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=81 time=6.093ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=82 time=6.134ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=83 time=6.186ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=84 time=6.422ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=85 time=6.385ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=86 time=6.176ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=87 time=6.354ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=88 time=6.364ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=89 time=6.186ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=90 time=6.285ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=91 time=6.184ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=92 time=6.112ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=93 time=5.941ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=94 time=6.313ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=95 time=6.394ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=96 time=6.522ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=97 time=6.367ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=98 time=6.089ms
152 bytes from 64-2:0:2b,192.168.111.1: scmp_seq=99 time=6.308ms

--- 64-2:0:2b,192.168.111.1 statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 100001.782ms
rtt min/avg/max/mdev = 5.849/6.301/7.468/0.245 ms
